Method_Type,Wavelet_Family,Wavelet,Algorithm,Features,Feature_Count,Feature_Extractor,Strategy,Training_Timesteps,Random_Seed,Alpha,Beta,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Win_Rate,Max_Loss,RoMaD,CAGR,Volatility,T_Statistic,P_Value,Total_Return,Best_Learning_Rate,Best_Gamma,Validation_Score
Reinforcement_Learning,Coiflets,coif1,DQN,DIX,1,Advanced,Long-Only,50000,1756567941,0.14800237782495132,0.02475898385355693,0.5060817082950424,0.030309783033011687,0.29417873122428273,0.19322990126939352,-0.15798628141180387,0.4625046121427235,0.1360590199855254,0.29847941052040505,0.9605891505746833,0.33708671915015465,0.4324841357421875,0.0003,0.95,0.7811484565048621
Reinforcement_Learning,Coiflets,coif1,DQN,GEX,1,Advanced,Long-Only,50000,3488592508,0.057000969924901716,-0.14685796882743354,0.1531258420526946,0.00631655922965896,0.2202572998046875,0.045133991537376586,-0.16340672853447655,0.13273236020473278,0.0292352712553976,0.2540035842145503,0.3886434443147272,0.6976567678664248,0.0845749267578125,0.0001,0.95,-0.03657642394916738
Reinforcement_Learning,Coiflets,coif1,DQN,VIX,1,Advanced,Long-Only,50000,2002235062,0.06056835747541585,-0.15971934721182443,0.25802735332659493,0.005053235969029382,0.07887997817983992,0.0028208744710860366,-0.07887997817983992,0.6459671558773292,0.050953875160496986,0.15841805443694776,0.6441086867234129,0.5197135631563176,0.150299931640625,0.0003,0.95,0.7449646761673017
Reinforcement_Learning,Coiflets,coif1,DQN,DIX_GEX,2,Advanced,Long-Only,50000,4208426628,0.1022524473602315,-0.1424058074848002,0.3458012324662106,0.01677931714481374,0.19807383981030133,0.0691114245416079,-0.14211818409565644,0.39911296522517714,0.0790538375402261,0.24492367124989253,0.7164916852684513,0.4739240690102695,0.2390751904296875,5e-05,0.99,0.25083728842781366
Reinforcement_Learning,Coiflets,coif1,DQN,DIX_VIX,2,Advanced,Long-Only,50000,845754512,0.15686250244512334,-0.1409467370646547,0.4647469575468136,0.02220886969214143,0.27984722076019225,0.11283497884344147,-0.14121757604724838,0.43750231411723517,0.12243380668186088,0.30013075362997155,0.8906873956405772,0.3733994658703397,0.3846049853515625,5e-05,0.99,0.635300116311694
Reinforcement_Learning,Coiflets,coif1,DQN,GEX_VIX,2,Advanced,Long-Only,50000,672610630,0.06041455330799115,-0.1554128953274573,0.15829908554248354,0.007885544068333,0.27543022195601974,0.06770098730606489,-0.15358855297611804,0.10745785049155174,0.02959713961180488,0.2606037765019119,0.39397206133227264,0.6937202932913366,0.085649638671875,5e-05,0.99,-0.08197056204669584
Reinforcement_Learning,Coiflets,coif1,DQN,DIX_GEX_VIX,3,Advanced,Long-Only,50000,1704383339,0.20499435453389922,-0.09932972443538414,0.8981127632214899,0.05599376519960733,0.1771706161771913,0.152327221438646,-0.10027097703241201,1.1808494860847054,0.2092118310621469,0.21461421319637303,1.661586222065092,0.0970384526650179,0.707840087890625,0.0001,0.95,0.5458350109883138
Reinforcement_Learning,Coiflets,coif4,PPO,DIX,1,Advanced,Long-Only,50000,886202910,0.2534990902287533,-0.038637281291059235,0.7185602681454246,0.06498657430533203,0.3485530710515328,0.5260930888575458,-0.10642617392321198,0.6669440791593397,0.23246540701062446,0.34615803553155083,1.3012682618274036,0.19358994071533464,0.8019976611328125,0.0001,0.99,0.7433550156722369
Reinforcement_Learning,Coiflets,coif4,PPO,GEX,1,Advanced,Long-Only,50000,1622592684,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.99,0.7433550156722369
Reinforcement_Learning,Coiflets,coif4,PPO,VIX,1,Advanced,Long-Only,50000,1217234770,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0003,0.95,0.3910607406072522
Reinforcement_Learning,Coiflets,coif4,PPO,DIX_GEX,2,Advanced,Long-Only,50000,1596308174,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.99,0.7433550156722369
Reinforcement_Learning,Coiflets,coif4,PPO,DIX_VIX,2,Advanced,Long-Only,50000,3532914971,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.99,0.7433550156722369
Reinforcement_Learning,Coiflets,coif4,PPO,GEX_VIX,2,Advanced,Long-Only,50000,3535342022,0.1584872696560505,-0.16199218371039462,0.5094090535688501,0.030132790173195697,0.2373723681640625,0.13399153737658676,-0.12144010031973267,0.5480725636411143,0.13009728235724016,0.27191287486788435,0.9771396218884902,0.3288337854630551,0.411405302734375,0.0003,0.95,0.6693625454646597
